일자,지역,가맹점수
2020,인천광역시 강화군,2583
2021,인천광역시 강화군,2762
2022,인천광역시 강화군,2856
2023,인천광역시 강화군,3247
2024,인천광역시 강화군,3468
2025,인천광역시 강화군,3958
2020,인천광역시 계양구,7250
2021,인천광역시 계양구,7752
2022,인천광역시 계양구,8017
2023,인천광역시 계양구,10882
2024,인천광역시 계양구,11177
2025,인천광역시 계양구,11472
2020,인천광역시 남동구,14666
2021,인천광역시 남동구,15683
2022,인천광역시 남동구,16217
2023,인천광역시 남동구,22434
2024,인천광역시 남동구,23246
2025,인천광역시 남동구,24057
2020,인천광역시 동구,2916
2021,인천광역시 동구,3119
2022,인천광역시 동구,3225
2023,인천광역시 동구,2824
2024,인천광역시 동구,2924
2025,인천광역시 동구,3023
2020,인천광역시 미추훌구,10833
2021,인천광역시 미추훌구,11584
2022,인천광역시 미추훌구,11979
2023,인천광역시 미추훌구,15482
2024,인천광역시 미추훌구,16512
2025,인천광역시 미추훌구,17541
2020,인천광역시 부평구,12666
2021,인천광역시 부평구,13544
2022,인천광역시 부평구,14006
2023,인천광역시 부평구,18802
2024,인천광역시 부평구,19779
2025,인천광역시 부평구,20755
2020,인천광역시 서구,16416
2021,인천광역시 서구,17554
2022,인천광역시 서구,18152
2023,인천광역시 서구,21790
2024,인천광역시 서구,23778
2025,인천광역시 서구,25765
2020,인천광역시 연수구,9083
2021,인천광역시 연수구,9713
2022,인천광역시 연수구,10044
2023,인천광역시 연수구,14078
2024,인천광역시 연수구,15178
2025,인천광역시 연수구,16277
2020,인천광역시 옹진군,667
2021,인천광역시 옹진군,713
2022,인천광역시 옹진군,737
2023,인천광역시 옹진군,910
2024,인천광역시 옹진군,1010
2025,인천광역시 옹진군,1109
2020,인천광역시 중구,6166
2021,인천광역시 중구,6594
2022,인천광역시 중구,6819
2023,인천광역시 중구,8594
2024,인천광역시 중구,9311
2025,인천광역시 중구,10028
