,일자,지역,이용현황_결제건수_금액병합_수정_충전건수,이용현황_결제건수_금액병합_수정_충전금액,이용현황_결제건수_금액병합_수정_결제건수,이용현황_결제건수_금액병합_수정_결제금액,인천_행정구역별_월별_상권수_수정본_상권수,인천e음카드_월별_캐시백비율_연매출 3억원 이하,인천e음카드_월별_캐시백비율_연매출 3억~30억원,인천e음카드_월별_캐시백비율_연매출 30억원 초과,인천e음카드_월별_캐시백비율_월 결제 한도,인천광역시_행정동병_연령별_성별_인구수_여/0_9,인천광역시_행정동병_연령별_성별_인구수_여/10_19,인천광역시_행정동병_연령별_성별_인구수_여/20_29,인천광역시_행정동병_연령별_성별_인구수_여/30_39,인천광역시_행정동병_연령별_성별_인구수_여/40_49,인천광역시_행정동병_연령별_성별_인구수_여/50_59,인천광역시_행정동병_연령별_성별_인구수_여/60_69,인천광역시_행정동병_연령별_성별_인구수_여/70_79,인천광역시_행정동병_연령별_성별_인구수_여/80_89,인천광역시_행정동병_연령별_성별_인구수_여/90_99,인천광역시_행정동병_연령별_성별_인구수_여/100 +,인천광역시_행정동병_연령별_성별_인구수_여/총인구수,인천광역시_행정동병_연령별_성별_인구수_남/0_9,인천광역시_행정동병_연령별_성별_인구수_남/10_19,인천광역시_행정동병_연령별_성별_인구수_남/20_29,인천광역시_행정동병_연령별_성별_인구수_남/30_39,인천광역시_행정동병_연령별_성별_인구수_남/40_49,인천광역시_행정동병_연령별_성별_인구수_남/50_59,인천광역시_행정동병_연령별_성별_인구수_남/60_69,인천광역시_행정동병_연령별_성별_인구수_남/70_79,인천광역시_행정동병_연령별_성별_인구수_남/80_89,인천광역시_행정동병_연령별_성별_인구수_남/90_99,인천광역시_행정동병_연령별_성별_인구수_남/100 +,인천광역시_행정동병_연령별_성별_인구수_남/총인구수,업종별_인천e음카드_데이터(월별)_문화_취미_영화관,업종별_인천e음카드_데이터(월별)_숙박,업종별_인천e음카드_데이터(월별)_약국,업종별_인천e음카드_데이터(월별)_연료,업종별_인천e음카드_데이터(월별)_유통업영리_편의점,업종별_인천e음카드_데이터(월별)_일반휴게음식,업종별_인천e음카드_데이터(월별)_학원,업종별_인천e음카드_데이터(월별)_기타,업종별_인천e음카드_데이터(월별)_전체금액,이용현황_결제건수_금액병합_수정_충전건수_조사여부,이용현황_결제건수_금액병합_수정_충전금액_조사여부,이용현황_결제건수_금액병합_수정_결제건수_조사여부,이용현황_결제건수_금액병합_수정_결제금액_조사여부,인천_행정구역별_월별_상권수_수정본_상권수_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/0_9_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/10_19_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/20_29_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/30_39_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/40_49_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/50_59_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/60_69_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/70_79_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/80_89_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/90_99_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/100 +_조사여부,인천광역시_행정동병_연령별_성별_인구수_여/총인구수_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/0_9_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/10_19_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/20_29_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/30_39_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/40_49_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/50_59_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/60_69_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/70_79_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/80_89_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/90_99_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/100 +_조사여부,인천광역시_행정동병_연령별_성별_인구수_남/총인구수_조사여부,업종별_인천e음카드_데이터(월별)_문화_취미_영화관_조사여부,업종별_인천e음카드_데이터(월별)_숙박_조사여부,업종별_인천e음카드_데이터(월별)_약국_조사여부,업종별_인천e음카드_데이터(월별)_연료_조사여부,업종별_인천e음카드_데이터(월별)_유통업영리_편의점_조사여부,업종별_인천e음카드_데이터(월별)_일반휴게음식_조사여부,업종별_인천e음카드_데이터(월별)_학원_조사여부,업종별_인천e음카드_데이터(월별)_기타_조사여부,업종별_인천e음카드_데이터(월별)_전체금액_조사여부,lpf_trend,trend_diff,slope_3,slope_6,trend_deviation,캐시백_변화,캐시백_상하향_더미,캐시백_유지개월,캐시백_변동_소비변화율,month,month_sin,month_cos,전월대비_변화율,금액_ma_3,금액_deviation_3,연초말_EMT,월별평균_x,월별평균_y,평년_월별_차이
0,2020-07,인천광역시,894000.0,79898000000.0,5032000.0,94399000000.0,0.0,0.1,0.1,0.1,100만원,114198,134395,192983,198631,237914,256764,179161,95842,49811,9347,682,1469728,120420,142314,210352,212697,248480,256879,176044,79969,25840,2596,246,1475837,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,,0,,,7,-0.4999999999999997,-0.8660254037844388,,0.0,0.0,Y_M,0.0,0.0,0.0
1,2020-08,인천광역시,933000.0,83902000000.0,4870000.0,93895000000.0,0.0,0.1,0.1,0.1,100만원,113619,134072,192600,197958,237494,256501,180531,95949,50002,9461,684,1468871,119788,141922,209904,211851,248154,256654,177354,80115,26034,2600,244,1474620,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,8,-0.8660254037844385,-0.5000000000000004,,0.0,0.0,Y_M,0.0,0.0,0.0
2,2020-09,인천광역시,964000.0,87791000000.0,5109000.0,97941000000.0,0.0,0.1,0.1,0.1,100만원,113046,133729,192318,197214,237347,256443,181795,96089,50216,9555,696,1468448,119162,141587,209648,211222,247944,256495,178704,80288,26167,2640,248,1474105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,9,-1.0,-1.8369701987210297e-16,,0.0,0.0,Y_M,0.0,0.0,0.0
3,2020-10,인천광역시,997000.0,89456000000.0,5212000.0,102000000000.0,0.0,0.1,0.1,0.1,100만원,112287,133662,192237,196563,237037,256477,183089,96267,50475,9606,699,1468399,118446,141458,209569,210479,247655,256576,179874,80533,26344,2650,250,1473834,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,10,-0.8660254037844386,0.5000000000000001,,0.0,0.0,Y_T,0.0,0.0,0.0
4,2020-11,인천광역시,975000.0,88519000000.0,4935000.0,97506000000.0,0.0,0.1,0.1,0.1,100만원,111657,133450,192133,196250,236896,256324,184338,96507,50607,9645,705,1468512,117812,141315,209376,210123,247531,256431,181049,80775,26471,2656,256,1473795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,11,-0.5000000000000004,0.8660254037844384,,0.0,0.0,Y_T,0.0,0.0,0.0
5,2020-12,인천광역시,967000.0,84896000000.0,4811000.0,94665000000.0,0.0,0.1,0.1,0.1,100만원,111278,133137,192183,196121,236575,256130,185618,96635,50822,9676,710,1468885,117356,141025,209363,210025,247402,256037,182261,80868,26682,2665,259,1473943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,12,-2.4492935982947064e-16,1.0,,0.0,0.0,Y_T,0.0,0.0,0.0
6,2021-01,인천광역시,1011000.0,91730000000.0,4833000.0,96699000000.0,0.0,0.1,0.1,0.1,100만원,110527,132847,191772,195607,236354,256024,187294,96825,51095,9751,717,1468813,116621,140769,208707,209491,247140,255910,183897,81220,26951,2672,261,1473639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,1,0.49999999999999994,0.8660254037844387,,0.0,0.0,Y_E,0.0,0.0,0.0
7,2021-02,인천광역시,4834000.0,101000000000.0,1010000.0,93702000000.0,0.0,0.1,0.1,0.1,100만원,109928,132578,190984,194897,236262,256025,188912,96861,51433,9856,724,1468460,116109,140481,207750,208746,247319,255768,185546,81372,27185,2702,267,1473245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,2,0.8660254037844386,0.5000000000000001,,0.0,0.0,Y_E,0.0,0.0,0.0
8,2021-03,인천광역시,1144000.0,106000000000.0,5695000.0,113000000000.0,0.0,0.1,0.1,0.1,100만원,109436,132435,190529,194382,235288,255151,190369,96458,51469,9798,396,1465711,115534,140296,207288,208208,246409,254889,186974,81174,27220,2632,126,1470750,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,3,1.0,6.123233995736766e-17,,0.0,0.0,Y_E,0.0,0.0,0.0
9,2021-04,인천광역시,1161000.0,108000000000.0,5960000.0,116000000000.0,0.0,0.1,0.1,0.1,100만원,108854,132301,190235,194059,235205,254752,191856,96460,51767,9839,396,1465724,114935,140034,206995,207964,246217,254583,188402,81182,27416,2638,124,1470490,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,,,,,,0.0,0,,,4,0.8660254037844387,-0.4999999999999998,,0.0,0.0,Y_M,0.0,0.0,0.0
